,0,1,2,3,4,5,6,7,8,9,10
0,10,5,nn,identity,5,0.9911687544797955,-1.1341631573426787,0.2874317233051607,0.15257214440772573,0.25142858412521707,0.41216198664954506
1,10,5,nn,identity,10,0.9973468146435748,0.6027992856025884,0.13157281057026893,0.032740179393834064,0.12555235877934934,0.15721938954639025
2,10,5,nn,identity,20,0.9980769205253982,0.37918048305695384,0.1539082556800322,0.05005654008029498,0.1320940669251445,0.2213658595450872
3,10,5,nn,identity,40,0.9986140602706135,0.6570495580917538,0.11244969354729914,0.02302972607146859,0.11606023984815891,0.15442559956843557
4,10,5,nn,identity,70,0.9986859169126063,0.6111561205458992,0.1285938783317573,0.032747753243654226,0.11805845271140931,0.1295738709082411
5,10,5,nn,identity,100,0.9981422525755066,0.6653879669069601,0.0974019245409883,0.02230334357015719,0.10168086480420147,0.1239799947969021
6,10,5,lr,0,0,0.9998180409483906,0.6653879669069601,0.038855014614875984,0.010433280024278797,0.04449598016861704,0.0891851426139081
7,10,5,rr,0.01,0,0.9997592086291256,0.9797888273070795,0.03097508810801639,0.0023086454866875746,0.03211341759682231,0.059397372487171446
8,10,5,rr,0.05,0,0.999727834391332,0.9719391375158879,0.03544885537598109,0.002548777862341533,0.03840368441781771,0.045935256340642966
9,10,5,rr,0.1,0,0.9997090136316265,0.9689597167345761,0.03862798262832535,0.0029399351095703323,0.044576267237769154,0.0699113690853887
10,10,5,rr,0.2,0,0.9996845152054628,0.9650664708864812,0.04298561735950516,0.0035935889217684697,0.05110482261853436,0.07711102808008467
11,10,5,rr,0.3,0,0.9996659015413846,0.9609563163519397,0.046377947913515544,0.00416194721673656,0.05519550220546285,0.06602131467115895
12,10,5,rr,0.4,0,0.9996499021671169,0.9563490826250381,0.04916588470477412,0.004671912592278652,0.058170662026345105,0.09001465643097822
13,10,5,rr,0.6,0,0.9996221415160083,0.9460937349119128,0.05369852099041995,0.005565032303113805,0.062388722033471726,0.07254324975050143
14,10,5,rr,0.8,0,0.9995978032270928,0.9351358769070504,0.05738820491992732,0.006336006122796501,0.06523683203417957,0.07824067191566614
15,10,5,rr,1.0,0,0.9995757025476306,0.9239882688923756,0.060573619789883244,0.007019262538879865,0.06760942808955907,0.09254338147866133
16,10,10,nn,identity,5,0.981905964994152,-0.8127530612103047,0.2804953357234185,0.14096891610688678,0.23450890961721443,1.6029661159781776
17,10,10,nn,identity,10,0.993912110912172,-1.0638516261099102,0.21055092867572472,0.07601999080393844,0.19081320275606362,0.2045664101285859
18,10,10,nn,identity,20,0.9973714053424434,-1.2301518813235282,0.15637594136984773,0.05228058475860277,0.1421293218341709,0.22640128111984076
19,10,10,nn,identity,40,0.9972790912756108,-0.026975191479175233,0.16364092874125172,0.05087221928467749,0.166410639155804,0.22756628263256445
20,10,10,nn,identity,70,0.997555076071297,0.06542592392088806,0.15384721350029218,0.04115661826907039,0.1458096095768427,0.2589286792256409
21,10,10,nn,identity,100,0.9976409139577557,0.5141955721683327,0.15499208639864315,0.04562098405842417,0.13598232716641465,0.19205202592877693
22,10,10,lr,0,0,0.9998613767157393,0.5141955721683327,0.2552372785947094,0.3628290601925505,0.15692718631301975,0.18747625170246116
23,10,10,rr,0.01,0,0.9995614218856187,0.7646530778152454,0.11736925655313807,0.05155983334611896,0.10270673263560945,0.817060963060131
24,10,10,rr,0.05,0,0.999445297838807,0.7885169399101435,0.09681783601244345,0.021837855748075428,0.09894935580998446,0.11551955131982584
25,10,10,rr,0.1,0,0.9993880018230339,0.8068546122243111,0.0926582979938501,0.01724562441658604,0.09769812405881795,0.10883353423050286
26,10,10,rr,0.2,0,0.9993197305744135,0.8167901640278623,0.0916290120947128,0.015567549394533888,0.09722943595249843,0.1362899119294395
27,10,10,rr,0.3,0,0.9992708993132184,0.8131904741805811,0.09254276236707451,0.015560039687524365,0.09651440769423532,0.10439786552378329
28,10,10,rr,0.4,0,0.9992307007790213,0.80481206130065,0.09399914440902067,0.015950102228874597,0.09705039392534769,0.10879592024052455
29,10,10,rr,0.6,0,0.999164315165776,0.7838857577212229,0.09725183831480727,0.01705006448804978,0.09896368199461482,0.12299067014694624
30,10,10,rr,0.8,0,0.999109005532781,0.762534001519637,0.10030817319560155,0.018212952067778166,0.10118801840449848,0.4402746689044238
31,10,10,rr,1.0,0,0.9990606371872346,0.7424492493663153,0.10316719621551822,0.01932321238326273,0.10323685821841033,0.19228424923908205
32,10,20,nn,identity,5,0.976921203304359,-1.537767913830078,0.3162169321845156,0.190699609818925,0.26148439909577725,0.3313420551233457
33,10,20,nn,identity,10,0.9915016791586733,-1.523048909008101,0.2888324624791326,0.17335415401646542,0.2551146316278226,0.8233381816152754
34,10,20,nn,identity,20,0.9947763817929507,-1.3794407113857297,0.3275233010975741,0.19409434658809352,0.26668573241098553,0.3063250107892286
35,10,20,nn,identity,40,0.9960163520366672,-1.8089536398035646,0.2332580838095508,0.10945668266354604,0.19413497862624163,0.5928656817217806
36,10,20,nn,identity,70,0.9963355750842529,-1.5747120112302548,0.26688218836452143,0.132778335036719,0.21975561177546987,0.31693261257700145
37,10,20,nn,identity,100,0.9971787106533883,-2.5227666120075485,0.2341249802173582,0.09357583914858245,0.1796091333544484,0.1929080079334983
38,10,20,lr,0,0,1.0,-2.5227666120075485,1.3072264676276586,8.589027603585318,0.4913764780603535,2.9426400964018837
39,10,20,rr,0.01,0,0.9996732751492243,0.010448628595710219,0.28663263062711974,0.21502069093289758,0.2042517231071992,0.183178782284511
